Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,
3.82E-06,10.4,3.82E-06,4.8,,,
3.83E-06,10.2,3.83E-06,4.8,,,
3.84E-06,10.2,3.84E-06,4.8,,,
3.85E-06,10.2,3.85E-06,4.8,,,
3.86E-06,10.4,3.86E-06,4.8,,,
3.87E-06,10.2,3.87E-06,4.6,,,
3.88E-06,10.2,3.88E-06,4.6,,,
3.89E-06,10.2,3.89E-06,4.8,,,
3.90E-06,10.2,3.90E-06,4.8,,,
3.91E-06,10.2,3.91E-06,5.2,,,
3.92E-06,10,3.92E-06,5,,,
3.93E-06,10,3.93E-06,4.8,,,
3.94E-06,10.4,3.94E-06,4.8,,,
3.95E-06,10.4,3.95E-06,4.8,,,
3.96E-06,10,3.96E-06,5,,,
3.97E-06,10.2,3.97E-06,4.8,,,
3.98E-06,10.2,3.98E-06,4.8,,,
3.99E-06,10.2,3.99E-06,4.6,,,
4.00E-06,10.2,4.00E-06,5.2,,,
4.01E-06,9.8,4.01E-06,4.8,,,
4.02E-06,10,4.02E-06,5,,,
4.03E-06,10.2,4.03E-06,4.8,,,
4.04E-06,10.4,4.04E-06,4.8,,,
4.05E-06,10,4.05E-06,5,,,
4.06E-06,10,4.06E-06,5,,,
4.07E-06,10.2,4.07E-06,4.6,,,
4.08E-06,10.4,4.08E-06,4.8,,,
4.09E-06,10.2,4.09E-06,4.8,,,
4.10E-06,10.2,4.10E-06,5,,,
4.11E-06,10.2,4.11E-06,5,,,
4.12E-06,10.4,4.12E-06,4.6,,,
4.13E-06,10.2,4.13E-06,5,,,
4.14E-06,10.2,4.14E-06,4.8,,,
4.15E-06,10.2,4.15E-06,4.8,,,
4.16E-06,10.2,4.16E-06,5,,,
4.17E-06,10,4.17E-06,4.8,,,
4.18E-06,10,4.18E-06,4.8,,,
4.19E-06,10.2,4.19E-06,4.8,,,
4.20E-06,10.2,4.20E-06,4.8,,,
4.21E-06,10,4.21E-06,5,,,
4.22E-06,9.8,4.22E-06,4.8,,,
4.23E-06,10.4,4.23E-06,5,,,
4.24E-06,10.2,4.24E-06,5,,,
4.25E-06,10.2,4.25E-06,4.8,,,
4.26E-06,10.4,4.26E-06,4.6,,,
4.27E-06,10.2,4.27E-06,5.4,,,
4.28E-06,10.2,4.28E-06,5,,,
4.29E-06,10,4.29E-06,4.8,,,
4.30E-06,10,4.30E-06,4.8,,,
4.31E-06,10,4.31E-06,4.6,,,
4.32E-06,10.4,4.32E-06,4.4,,,
4.33E-06,10.2,4.33E-06,5,,,
4.34E-06,10,4.34E-06,4.8,,,
4.35E-06,10.2,4.35E-06,4.6,,,
4.36E-06,10.4,4.36E-06,5,,,
4.37E-06,10.4,4.37E-06,5,,,
4.38E-06,10.2,4.38E-06,5,,,
4.39E-06,10,4.39E-06,5,,,
4.40E-06,10.2,4.40E-06,4.8,,,
4.41E-06,10.4,4.41E-06,5,,,
4.42E-06,10.2,4.42E-06,4.8,,,
4.43E-06,10.2,4.43E-06,4.8,,,
4.44E-06,10,4.44E-06,4.8,,,
4.45E-06,10.2,4.45E-06,4.6,,,
4.46E-06,10.4,4.46E-06,4.8,,,
4.47E-06,10.4,4.47E-06,5,,,
4.48E-06,10.2,4.48E-06,4.8,,,
4.49E-06,10,4.49E-06,4.8,,,
4.50E-06,10.2,4.50E-06,4.8,,,
4.51E-06,10.6,4.51E-06,5,,,
4.52E-06,10.4,4.52E-06,4.8,,,
4.53E-06,10.4,4.53E-06,4.8,,,
4.54E-06,10.4,4.54E-06,5,,,
4.55E-06,10.2,4.55E-06,4.8,,,
4.56E-06,10.2,4.56E-06,4.8,,,
4.57E-06,10.4,4.57E-06,4.8,,,
4.58E-06,10,4.58E-06,4.6,,,
4.59E-06,10.2,4.59E-06,5,,,
4.60E-06,10.2,4.60E-06,4.8,,,
4.61E-06,10.4,4.61E-06,4.8,,,
4.62E-06,10,4.62E-06,4.8,,,
4.63E-06,10.2,4.63E-06,4.6,,,
4.64E-06,10.2,4.64E-06,5,,,
4.65E-06,10,4.65E-06,4.8,,,
4.66E-06,10.4,4.66E-06,4.8,,,
4.67E-06,10,4.67E-06,4.6,,,
4.68E-06,10,4.68E-06,4.8,,,
4.69E-06,10.4,4.69E-06,4.8,,,
4.70E-06,10.2,4.70E-06,4.6,,,
4.71E-06,10.2,4.71E-06,4.8,,,
4.72E-06,10.2,4.72E-06,4.6,,,
4.73E-06,10.2,4.73E-06,4.8,,,
4.74E-06,10,4.74E-06,5,,,
4.75E-06,10.4,4.75E-06,4.8,,,
4.76E-06,10.2,4.76E-06,4.8,,,
4.77E-06,10.2,4.77E-06,4.8,,,
4.78E-06,10,4.78E-06,4.6,,,
4.79E-06,10.2,4.79E-06,5,,,
4.80E-06,10.2,4.80E-06,4.8,,,
4.81E-06,10,4.81E-06,4.6,,,
4.82E-06,10.2,4.82E-06,4.8,,,
4.83E-06,10.2,4.83E-06,4.8,,,
4.84E-06,10.2,4.84E-06,5,,,
4.85E-06,10.4,4.85E-06,4.8,,,
4.86E-06,10.2,4.86E-06,5,,,
4.87E-06,10,4.87E-06,5,,,
4.88E-06,10.2,4.88E-06,4.8,,,
4.89E-06,10.2,4.89E-06,5,,,
4.90E-06,10.4,4.90E-06,5.2,,,
4.91E-06,10.2,4.91E-06,4.8,,,
4.92E-06,10,4.92E-06,4.8,,,
4.93E-06,10,4.93E-06,5,,,
4.94E-06,9.8,4.94E-06,4.6,,,
4.95E-06,9.8,4.95E-06,5,,,
4.96E-06,10.4,4.96E-06,4.8,,,
4.97E-06,10,4.97E-06,5,,,
4.98E-06,10.4,4.98E-06,4.6,,,
4.99E-06,10.4,4.99E-06,4.8,,,
5.00E-06,10.2,5.00E-06,4.8,,,
5.01E-06,10.2,5.01E-06,5,,,
5.02E-06,10,5.02E-06,5,,,
5.03E-06,10.2,5.03E-06,4.6,,,
5.04E-06,10,5.04E-06,5,,,
5.05E-06,10.2,5.05E-06,4.8,,,
5.06E-06,10,5.06E-06,4.8,,,
5.07E-06,10,5.07E-06,4.8,,,
5.08E-06,10,5.08E-06,4.8,,,
5.09E-06,10,5.09E-06,5,,,
5.10E-06,10,5.10E-06,5,,,
5.11E-06,10.2,5.11E-06,4.8,,,
5.12E-06,10.2,5.12E-06,4.8,,,
5.13E-06,10.2,5.13E-06,5,,,
5.14E-06,10.2,5.14E-06,4.8,,,
5.15E-06,10.4,5.15E-06,5,,,
5.16E-06,10,5.16E-06,4.8,,,
5.17E-06,10,5.17E-06,4.8,,,
5.18E-06,10.2,5.18E-06,4.8,,,
5.19E-06,10,5.19E-06,4.8,,,
5.20E-06,10.2,5.20E-06,5,,,
5.21E-06,10,5.21E-06,4.8,,,
5.22E-06,10.2,5.22E-06,4.8,,,
5.23E-06,10.2,5.23E-06,5,,,
5.24E-06,9.8,5.24E-06,4.8,,,
5.25E-06,10,5.25E-06,4.8,,,
5.26E-06,10.2,5.26E-06,5,,,
5.27E-06,10.2,5.27E-06,4.8,,,
5.28E-06,10,5.28E-06,4.8,,,
5.29E-06,10,5.29E-06,4.6,,,
5.30E-06,10.2,5.30E-06,4.8,,,
5.31E-06,10.2,5.31E-06,4.4,,,
5.32E-06,10.2,5.32E-06,4.8,,,
5.33E-06,10,5.33E-06,4.8,,,
5.34E-06,10.2,5.34E-06,4.6,,,
5.35E-06,10,5.35E-06,5,,,
5.36E-06,10.2,5.36E-06,5,,,
5.37E-06,10,5.37E-06,4.8,,,
5.38E-06,10.2,5.38E-06,4.8,,,
5.39E-06,10,5.39E-06,4.8,,,
5.40E-06,10.2,5.40E-06,5,,,
5.41E-06,10.2,5.41E-06,5,,,
