Time - Plot 0,Amplitude - Plot 0
0.02566,0.64
0.02568,0.56
0.0257,0.72
0.02572,0.56
0.02574,0.64
0.02576,0.64
0.02578,0.72
0.0258,0.64
0.02582,0.64
0.02584,0.64
0.02586,0.64
0.02588,0.72
0.0259,0.72
0.02592,0.64
0.02594,0.72
0.02596,0.72
0.02598,0.72
0.026,0.64
0.02602,0.72
0.02604,0.64
0.02606,0.8
0.02608,0.64
0.0261,0.72
0.02612,0.72
0.02614,0.72
0.02616,0.64
0.02618,0.72
0.0262,0.72
0.02622,0.8
0.02624,0.64
0.02626,0.72
0.02628,0.64
0.0263,0.8
0.02632,0.64
0.02634,0.8
0.02636,0.64
0.02638,0.72
0.0264,0.56
0.02642,0.8
0.02644,0.64
0.02646,0.72
0.02648,0.72
0.0265,0.8
0.02652,0.72
0.02654,0.8
0.02656,0.64
0.02658,0.8
0.0266,0.72
0.02662,0.8
0.02664,0.64
0.02666,0.72
0.02668,0.64
0.0267,0.8
0.02672,0.64
0.02674,0.8
0.02676,0.72
0.02678,0.8
0.0268,0.64
0.02682,0.72
0.02684,0.64
0.02686,0.8
0.02688,0.72
0.0269,0.8
0.02692,0.64
0.02694,0.72
0.02696,0.64
0.02698,0.8
0.027,0.64
0.02702,0.8
0.02704,0.64
0.02706,0.8
0.02708,0.72
0.0271,0.72
0.02712,0.64
0.02714,0.72
0.02716,0.72
0.02718,0.72
0.0272,0.72
0.02722,0.8
0.02724,0.64
0.02726,0.72
0.02728,0.64
0.0273,0.72
0.02732,0.64
0.02734,0.8
0.02736,0.64
0.02738,0.8
0.0274,0.72
0.02742,0.8
0.02744,0.72
0.02746,0.8
0.02748,0.72
0.0275,0.8
0.02752,0.64
0.02754,0.8
0.02756,0.64
0.02758,0.8
0.0276,0.72
0.02762,0.8
0.02764,0.64
0.02766,0.8
0.02768,0.64
0.0277,0.8
0.02772,0.64
0.02774,0.72
0.02776,0.64
0.02778,0.72
0.0278,0.64
0.02782,0.72
0.02784,0.72
0.02786,0.72
0.02788,0.72
0.0279,0.72
0.02792,0.72
0.02794,0.8
0.02796,0.64
0.02798,0.72
0.028,0.64
0.02802,0.72
0.02804,0.64
0.02806,0.8
0.02808,0.64
0.0281,0.8
0.02812,0.72
0.02814,0.8
0.02816,0.72
0.02818,0.8
0.0282,0.64
0.02822,0.72
0.02824,0.64
0.02826,0.72
0.02828,0.64
0.0283,0.8
0.02832,0.64
0.02834,0.72
0.02836,0.64
0.02838,0.8
0.0284,0.64
0.02842,0.72
0.02844,0.64
0.02846,0.8
0.02848,0.64
0.0285,0.8
0.02852,0.72
0.02854,0.8
0.02856,0.64
0.02858,0.72
0.0286,0.64
0.02862,0.72
0.02864,0.64
0.02866,0.8
0.02868,0.64
0.0287,0.72
0.02872,0.64
0.02874,0.8
0.02876,0.64
0.02878,0.72
0.0288,0.64
0.02882,0.8
0.02884,0.72
0.02886,0.8
0.02888,0.64
0.0289,0.72
0.02892,0.64
0.02894,0.72
0.02896,0.64
0.02898,0.72
0.029,0.64
0.02902,0.8
0.02904,0.64
0.02906,0.72
0.02908,0.64
0.0291,0.72
0.02912,0.64
0.02914,0.72
0.02916,0.64
0.02918,0.64
0.0292,0.56
0.02922,0.72
0.02924,0.64
0.02926,0.72
0.02928,0.56
0.0293,0.72
0.02932,0.56
0.02934,0.72
